epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,254.111,0.56266,0.30591,0.79373,0.9993,0.95954,0.98135,0.85937,0.57172,0.30326,0.79222,0.0012575,0.0012575,0.0012575
77,256.365,0.54825,0.30372,0.79331,0.99892,0.95954,0.97589,0.85929,0.55958,0.29656,0.79294,0.0012476,0.0012476,0.0012476
78,259.207,0.5452,0.30411,0.79395,0.99937,0.95954,0.97824,0.85735,0.57377,0.30407,0.79267,0.0012377,0.0012377,0.0012377
79,261.652,0.55178,0.30391,0.79303,0.99327,0.9711,0.98805,0.87799,0.54087,0.29689,0.79012,0.0012278,0.0012278,0.0012278
80,264.294,0.52766,0.28999,0.79174,0.99927,0.95954,0.97885,0.87055,0.54548,0.28275,0.78954,0.0012179,0.0012179,0.0012179
81,266.82,0.54056,0.30141,0.79414,0.99404,0.9647,0.98476,0.8787,0.53313,0.28813,0.7879,0.001208,0.001208,0.001208
82,269.396,0.54174,0.29606,0.78949,1,0.96479,0.99158,0.87667,0.54837,0.28157,0.78992,0.0011981,0.0011981,0.0011981
83,271.892,0.54146,0.29466,0.79682,1,0.96494,0.98562,0.87838,0.55653,0.28918,0.79055,0.0011882,0.0011882,0.0011882
84,274.588,0.5557,0.29979,0.79103,1,0.9649,0.98456,0.87396,0.55578,0.29782,0.79181,0.0011783,0.0011783,0.0011783
85,276.835,0.54152,0.29119,0.79405,1,0.96496,0.98625,0.87458,0.56128,0.28895,0.7915,0.0011684,0.0011684,0.0011684
86,278.912,0.51827,0.28794,0.78907,1,0.96497,0.98579,0.87559,0.53892,0.27706,0.7894,0.0011585,0.0011585,0.0011585
87,281.365,0.52557,0.2913,0.78701,1,0.96481,0.98139,0.86351,0.56086,0.31223,0.7892,0.0011486,0.0011486,0.0011486
88,283.937,0.53573,0.29707,0.80012,0.99916,0.95954,0.97778,0.86522,0.54646,0.28982,0.79024,0.0011387,0.0011387,0.0011387
89,286.568,0.53666,0.29985,0.78803,1,0.96515,0.98303,0.86729,0.55473,0.28773,0.79049,0.0011288,0.0011288,0.0011288
90,288.858,0.53952,0.3006,0.79343,1,0.96476,0.99132,0.87465,0.56531,0.29455,0.79447,0.0011189,0.0011189,0.0011189
91,291.1,0.53949,0.29943,0.79055,0.99411,0.97529,0.99117,0.88045,0.54559,0.29147,0.78954,0.001109,0.001109,0.001109
92,293.435,0.54695,0.30018,0.79237,0.9993,0.95954,0.99198,0.87658,0.55199,0.29655,0.79113,0.0010991,0.0010991,0.0010991
93,297.156,0.53887,0.29079,0.79148,1,0.96507,0.99221,0.87672,0.54518,0.28479,0.7895,0.0010892,0.0010892,0.0010892
94,300.242,0.52842,0.28839,0.78977,0.99926,0.95954,0.99202,0.88284,0.52963,0.27478,0.7902,0.0010793,0.0010793,0.0010793
95,302.589,0.53238,0.28943,0.79425,0.98828,0.97444,0.98547,0.87493,0.54241,0.2882,0.79088,0.0010694,0.0010694,0.0010694
96,304.444,0.52447,0.28743,0.79271,1,0.96495,0.98916,0.88285,0.53205,0.27487,0.78887,0.0010595,0.0010595,0.0010595
97,306.946,0.53188,0.28583,0.7901,1,0.9649,0.98896,0.87377,0.56602,0.29075,0.7912,0.0010496,0.0010496,0.0010496
98,310.173,0.53652,0.28837,0.79471,1,0.97379,0.98953,0.87706,0.5348,0.27877,0.79197,0.0010397,0.0010397,0.0010397
99,312.225,0.52156,0.28521,0.78447,0.99265,0.9711,0.99177,0.88442,0.5211,0.27484,0.7899,0.0010298,0.0010298,0.0010298
100,314.859,0.51768,0.28088,0.78506,0.99851,0.9711,0.99166,0.882,0.53135,0.27699,0.79007,0.0010199,0.0010199,0.0010199
101,317.264,0.52456,0.28181,0.78966,1,0.96469,0.98871,0.87644,0.53898,0.27453,0.79016,0.00101,0.00101,0.00101
102,319.842,0.51654,0.27745,0.78818,0.99946,0.95954,0.98845,0.87669,0.55154,0.28747,0.7896,0.0010001,0.0010001,0.0010001
103,322.488,0.51567,0.27787,0.78693,0.99944,0.95954,0.9846,0.87506,0.53548,0.28013,0.7895,0.0009902,0.0009902,0.0009902
104,325.034,0.51894,0.27594,0.79002,1,0.96497,0.98828,0.87145,0.54142,0.28108,0.78958,0.0009803,0.0009803,0.0009803
105,327.567,0.52355,0.28067,0.79233,0.99949,0.95954,0.98468,0.8744,0.5276,0.26737,0.78856,0.0009704,0.0009704,0.0009704
106,330.366,0.5025,0.27145,0.79041,1,0.96493,0.98866,0.87359,0.55769,0.27168,0.79156,0.0009605,0.0009605,0.0009605
107,332.64,0.52594,0.27957,0.7947,1,0.96489,0.99098,0.88098,0.54027,0.2748,0.79025,0.0009506,0.0009506,0.0009506
108,335.887,0.51377,0.27739,0.78852,0.99939,0.95954,0.97846,0.87293,0.52554,0.26359,0.78904,0.0009407,0.0009407,0.0009407
109,338.277,0.52087,0.27669,0.79215,0.99923,0.95954,0.98226,0.87846,0.54272,0.27706,0.78892,0.0009308,0.0009308,0.0009308
110,340.882,0.51663,0.28251,0.79066,0.99404,0.96452,0.98795,0.87466,0.53536,0.27271,0.78936,0.0009209,0.0009209,0.0009209
111,344.222,0.52756,0.28746,0.78938,0.99404,0.96449,0.98458,0.88042,0.52739,0.27611,0.78915,0.000911,0.000911,0.000911
112,346.287,0.51311,0.28699,0.78251,0.99947,0.95954,0.98306,0.87791,0.53922,0.26986,0.7906,0.0009011,0.0009011,0.0009011
113,349.42,0.50486,0.27753,0.78795,0.99955,0.95954,0.97964,0.87524,0.53707,0.27472,0.79071,0.0008912,0.0008912,0.0008912
114,351.901,0.50366,0.27429,0.79475,0.99949,0.95954,0.97823,0.87334,0.53232,0.26745,0.7882,0.0008813,0.0008813,0.0008813
115,354.675,0.51021,0.27668,0.7845,0.99951,0.95954,0.98887,0.87319,0.55331,0.28048,0.79172,0.0008714,0.0008714,0.0008714
116,357.18,0.50227,0.27907,0.78456,1,0.97034,0.99236,0.87605,0.54637,0.2733,0.79058,0.0008615,0.0008615,0.0008615
117,359.458,0.50754,0.27891,0.78714,1,0.96505,0.98931,0.88426,0.53931,0.27407,0.78976,0.0008516,0.0008516,0.0008516
118,361.999,0.49821,0.27026,0.79246,1,0.97024,0.98871,0.87057,0.57151,0.28254,0.79299,0.0008417,0.0008417,0.0008417
119,364.709,0.51246,0.27805,0.78453,1,0.97034,0.98888,0.87295,0.54626,0.27192,0.78955,0.0008318,0.0008318,0.0008318
120,367.14,0.50352,0.27407,0.7849,0.99949,0.95954,0.97898,0.8639,0.53203,0.27284,0.78803,0.0008219,0.0008219,0.0008219
121,369.744,0.49504,0.26736,0.78881,0.99951,0.95954,0.98309,0.87342,0.53389,0.27036,0.78773,0.000812,0.000812,0.000812
122,372.415,0.50455,0.27624,0.78346,1,0.96506,0.99145,0.88413,0.52367,0.26861,0.78753,0.0008021,0.0008021,0.0008021
123,374.714,0.50808,0.27267,0.78968,0.99946,0.95954,0.98747,0.8839,0.51561,0.26551,0.78676,0.0007922,0.0007922,0.0007922
124,377.259,0.50811,0.26936,0.78677,0.99883,0.95954,0.9785,0.86915,0.54057,0.26881,0.78861,0.0007823,0.0007823,0.0007823
125,379.895,0.49702,0.27532,0.77778,0.99931,0.95954,0.98249,0.86822,0.57457,0.28828,0.79258,0.0007724,0.0007724,0.0007724
